name,edges_per_second,graphs_per_second,nodes_per_second,total_component_ms,data_wait_ms,h2d_ms,backbone_ms,mean_head_ms,covariance_head_ms,spd_loss_ms,backward_ms,grad_clip_ms,optimizer_ms,steady_total_time_ms,peak_cuda_memory_mb,tp_weight_numel,num_parameters,batch_size,num_workers,pin_memory,persistent_workers,prefetch_factor,atom_features,lmax,hidden_dim,num_layers
C_bs16_learnable_w4,10328.857087027109,23.89659953329869,329.17565857118944,617.2544150103931,443.38435499957995,0.8125250009470619,28.766870000981726,2.2025400030543096,5.874015002336819,5.000510002719238,127.1320449988707,2.7883549977559596,1.2932000041473657,13391.026600002078,451.04638671875,19572,171119,16,4,True,True,2,learnable,2,32,2
C_bs32_learnable_w4,10092.948618237931,22.47716304430467,312.8188925556589,1313.7220750097185,1031.9876950001344,1.0286500008078292,43.83493999921484,1.7229500052053481,6.179820004035719,5.214925001200754,219.41353500151308,3.2089700005599298,1.130589997046627,28473.3441999997,860.4775390625,19572,171119,32,4,True,True,2,learnable,2,32,2
B_bs32_manual_w4,9657.51948414839,23.28024704649023,306.3171255913972,1307.4816300024395,1060.5971999975736,0.9733499988215044,40.21951000468107,2.2272399975918233,6.297255000390578,4.674630002409685,186.28012999834027,4.834689998824615,1.3776250038063154,27491.11719999928,654.90283203125,19572,165288,32,4,True,True,2,manual,2,32,2
C_bs64_learnable_w4,8912.170845252547,20.569168695632964,279.46750998886944,2792.747134984529,2313.1252899984247,1.0132049952517264,85.15444999502506,1.8032799984212033,6.848365000041667,5.437445001734886,375.4663599989726,2.6768649971927516,1.2218749994644895,62229.05840000021,1493.52197265625,19572,171119,64,4,True,True,2,learnable,2,32,2
A_bs32_manual_w0,2183.4343962817334,5.034761353342854,69.36170445691242,5432.981289997406,5044.205259997398,4.175284996745177,70.09436500084121,2.946024997800123,6.184525000571739,4.415310002514161,296.92958500090754,2.864365001732949,1.1665699988952838,127116.25339998864,640.89697265625,19572,165288,32,0,False,False,,manual,2,32,2
